"Id","CarCategoryId","CarCategoryCode","CarCategoryName","Currency","CurrencySymbol","ImageLink","NumberOfPeople","NumberOfSmallBags","NumberOfLargeBags","AirConditioner","Airbags","Radio","PowerSteering","Gear","Doors","PriceExtraKm","KmQuota","UnitPrice","Days","Price","Unit","ImmidiateConfirmation","DiscountRate","PriceAfterDiscount","RateCodeSelected","LocationIDSupplier","SupplierLogoImageLink","MinimumAge","RentalDays","MinimumDays","DrivingExperienceRequired","WinterTiresFee","RentalContractFee","SupplierCode","Terms","IncludedInVoucher","Fees","CarGuid","ComparePrice"
"70f625ec-1c69-49ae-be15-2233f7c3e40a_10","10","B (MBMR)","<strong>Suzuki Alto</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/10t1.jpg","4","2","1","True","0","True","True","","0","0.45","250.0","11.67","1","11.67","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","11.67"
"871be8eb-5143-4a40-9368-ce62a26f4417_30","30","C (EBAR)","<strong> Kia Picanto</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/30t1.jpg","4","2","1","True","0","True","False","","0","0.45","250.0","12.70","1","12.70","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","12.70"
"c30147c1-78ef-4e17-920a-a3b14f388eff_15","15","Q (MBAR)","<strong>Fiat 500</strong> or Similar (2 Doors)","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/15t1.jpg","4","2","0","True","0","True","False","","2","0.45","250.0","12.10","1","12.10","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","12.10"
"ac0f03b8-e9a6-4602-959f-e9e1503c8fd9_20","20","D (ECAR)","<strong>Hyundai i20</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/20t1.jpg","4","2","1","True","0","True","False","","0","0.45","250.0","13.58","1","13.58","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","13.58"
"54e4442a-c4c4-4a94-9063-24114c10985b_50","50","E (EDAR)","<strong>Ford Fiesta</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/50t.jpg","5","2","1","True","0","True","False","","0","0.45","250.0","14.89","1","14.89","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","14.89"
"b6d0f12a-49e8-456a-99eb-ca80726953f4_60","60","F (EZAR)","<strong>Hyundai i25</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/60t1.jpg","5","2","1","True","0","True","False","","0","0.5","250.0","16.93","1","16.93","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","16.93"
"e218b4ce-dbdc-4853-8422-12c6bc81e2d0_90","90","I (CCAR)","<strong>VW Golf</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/90t1.jpg","5","2","2","True","0","True","False","","0","0.5","250.0","20.42","1","20.42","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","20.42"
"ef86283b-6bed-4764-b6ce-7df9b4f0ef53_91","91","IW (CWAR)","<strong>Seat Leon SW</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/91t1.jpg","5","2","2","True","0","True","False","","0","0.5","250.0","26.62","1","26.62","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","26.62"
"906f993d-c6b3-426a-ba3d-56b08f3d401c_80","80","H (CDAR)","<strong>VW Jetta</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/80t.jpg","5","2","2","True","0","True","False","","0","0.5","250.0","27.98","1","27.98","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","27.98"
"ad69928f-56c6-4520-aa7c-63ffd0947b18_130","130","M (SDAR)","<strong>Mazda 6</strong> or Similar","$","null","https://rent.albar.co.il/CarImages/Rent/CarCategories/130t.jpg","5","2","2","True","0","True","False","","0","0.5","250.0","32.97","1","32.97","D","True","0","0","null","null","null","0","0","0","0","null","null","null","null","null","null","null","32.97"
